id;prognoselink;farbe;badestellelink;badname;bezirk;dat;cb;eco;ente;sicht;temp;profil;profillink;pdflink;rss_name;bsl;algen;wasserqualitaet;farb_id;wasserqualitaet_lageso;wasserqualitaet_predict;dat_predict
1;;gruen.jpg;"""Alter Hof(Link zur Badestelle Alter Hof)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344360.php";"Alter Hof";Steglitz-Zehlendorf;2021-06-08;360;<15;<15;170;24,8;Unterhavel;"""Unterhavel - Alter Hof(Link zum Badegewässerprofil Unterhavel Alter Hof)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339134.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad29.pdf";"Alter Hof / Unterhavel";B334;;1;1;;;
4;;gruen.jpg;"""Bammelecke(Link zur Badestelle Bammelecke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344320.php";Bammelecke;Treptow-Köpenick;2021-06-01;2300;<15;<15;320;18,5;Dahme;"""Dahme - Bammelecke(Link zum Badegewässerprofil Bammelecke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339118.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad1.pdf";Bammelecke;B225;;1;1;;;
7;;gruen_prog.jpg;"""Breitehorn(Link zur Badestelle Breitehorn)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344350.php";Breitehorn;Spandau;2021-06-08;<300;<15;<15;100;23,9;Unterhavel;"""Unterhavel - Breitehorn(Link zum Badegewässerprofil Unterhavel Breithorn)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339130.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad30.pdf";"Breitehorn / Unterhavel";B332;;11;11;1;ausgezeichnet;2021-06-14T04:05:58.277Z
10;;gruen.jpg;"""Bürgerablage(Link zur Badestelle Bürgerablage)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344337.php";Bürgerablage;Spandau;2021-06-09;<300;<15;<15;130;24,1;Oberhavel;"""Oberhavel - Bürgerablage(Link zum Badegewässerprofil Bürgerablage)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339123.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad16.pdf";"Bürgerablage / Oberhavel";B304;;1;1;;;
13;;gruen.jpg;"""Dämeritzsee(Link zur Badestelle Dämeritzsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344321.php";Dämeritzsee;Treptow-Köpenick;2021-06-01;<300;15;<15;100;18,4;"Großer Müggelsee";"""Großer Müggelsee - Dämeritzsee(Link zum Badegewässerprofil Dämeritzsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339107.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad2.pdf";Dämeritzsee;B105;;1;1;;;
16;;gruen.jpg;"""Flughafensee(Link zur Badestelle Flughafensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344334.php";Flughafensee;Reinickendorf;2021-06-02;<300;<15;<15;200;20,4;Flughafensee;"""Flughafensee - Flughafensee(Link zum Badegewässerprofil Flughafensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339146.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad3.pdf";Flughafensee;B920;;1;1;;;
19;;gruen.jpg;"""Seebad Friedrichshagen(Link zur Badestelle Seebad Friedrichshagen)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344322.php";"Friedrichshagen, Seebad";Treptow-Köpenick;2021-06-01;<300;<15;<15;>230;16,8;"Großer Müggelsee";"""Seebad Friedrichshagen(Link zum Badegewässerprofil Seebad Friedrichshagen)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339113.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad4.pdf";"Seebad Friedrichshagen";B118;;1;1;;;
22;;gruen.jpg;"""Flußbad Gartenstraße(Link zur Badestelle Flußbad Gartenstraße)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344323.php";"Gartenstraße, Flussbad";Treptow-Köpenick;2021-06-01;1500;<15;15;280;18,6;Dahme;"""Dahme - Flussbad Gartenstraße(Link zum Badegewässerprofil Flußbad Gartenstraße)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339121.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad5.pdf";"Flussbad Gartenstraße";B230;;1;1;;;
25;;gruen.jpg;"""Groß Glienicker See, nördlich(Link zur Badestelle Glienicker See nördlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344340.php";"Groß Glienicker See, nördlich";Spandau;2021-06-03;<300;30;<15;300;20;"Groß Glienicker See";"""Groß Glienicker See - Groß Glienicker See, nördlich(Link zum Groß Glienicker See nördlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339153.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad6.pdf";"Groß Glienicker See, nördlich";B961;;1;1;;;
28;;gruen.jpg;"""Groß Glienicker See, südlich(Link zur Badestelle Glienicker See südlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344338.php";"Groß Glienicker See, südlich";Spandau;2021-06-03;<300;15;<15;250;19,6;"Groß Glienicker See";"""Groß Glienicker See - Groß Glienicker See, südlich(Link zum Groß Glienicker See südlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339154.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad7.pdf";"Groß Glienicker See, südlich";B962;;1;1;;;
31;;gruen.jpg;"""Große Krampe(Link zur Badestelle Große Krampe)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344326.php";"Große Krampe";Treptow-Köpenick;2021-06-01;2300;<15;<15;260;19;Dahme;"""Dahme - Große Krampe(Link zum Badegewässerprofil Große Krampe)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339117.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad8.pdf";"Große Krampe";B224;;1;1;;;
34;;gruen.jpg;"""Große Steinlanke(Link zur Badestelle Große Steinlanke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344362.php";"Große Steinlanke";Steglitz-Zehlendorf;2021-06-08;<300;<15;<15;120;23,3;Unterhavel;"""Unterhavel - Große Steinlanke(Link zum Badegewässerprofil Unterhavel Steinlanke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339133.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad31.pdf";"Große Steinlanke / Unterhavel";B333;;1;1;;;
37;;gruen.jpg;"""Freibad Grünau(Link zur Badestelle Grünau)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344325.php";"Grünau, Freibad";Treptow-Köpenick;2021-06-01;<300;<15;<15;370;18,3;Dahme;"""Dahme - Freibad Grünau(Link zum Badegewässerprofil Freibad Grünau)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339119.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad9.pdf";"Freibad Grünau";B226;;1;1;;;
40;;gruen_prog.jpg;"""Grunewaldturm(Link zur Badestelle Grunewaldturm)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344359.php";Grunewaldturm;Charlottenburg-Wilmersdorf;2021-06-08;<300;<15;<15;160;21,6;Unterhavel;"""Unterhavel - Grunewaldturm(Link zum Badegewässerprofil Unterhavel Grunewaldturm)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339131.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad32.pdf";"Grunewaldturm / Unterhavel";B330;;11;11;1;ausgezeichnet;2021-06-14T04:09:57.275Z
43;;gruen.jpg;"""Halensee(Link zur Badestelle Halensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.468922.php";Halensee;Charlottenburg-Wilmersdorf;2021-06-03;360;15;15;;;Halensee;"""Halensee - Halensee(Link zum Badegewässerprofil Halensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.468919.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad39.pdf";Halensee;B930;;1;1;;;
46;;gruen.jpg;"""Freibad Heiligensee(Link zur Badestelle Freibad Heiligensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344335.php";"Heiligensee, Freibad";Reinickendorf;2021-06-02;<300;<15;<15;420;19,6;Heiligensee;"""Heiligensee - Freibad Heiligensee(Link zum Badegewässerprofil Freibad Heiligensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339147.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad10.pdf";"Freibad Heiligensee";B925;;1;1;;;
49;;gruen.jpg;"""Freibad Jungfernheide(Link zur Badestelle Freibad Jungfernheide)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344352.php";"Jungfernheide, Freibad";Charlottenburg-Wilmersdorf;2021-06-02;<300;15;<15;>260;20,4;Jungfernheideteich;"""Jungfernheideteich - Freibad Jungfernheide(Link zum Badegewässerprofil Freibad Jungfernheide)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339149.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad11.pdf";"Freibad Jungfernheide";B922;;1;1;;;
52;;gruen_prog.jpg;"""Kleine Badewiese(Link zur Badestelle Kleine Badewiese)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344351.php";"Kleine Badewiese";Spandau;2021-06-08;<300;<15;<15;100;23,6;Unterhavel;"""Unterhavel - Kleine Badewiese(Link zum Badegewässerprofil Unterhavel Kleine Badewiese)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339129.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad33.pdf";"Kleine Badewiese / Unterhavel";B329;;11;11;1;ausgezeichnet;2021-06-14T04:07:57.050Z
55;;gruen.jpg;"""Kleiner Müggelsee(Link zur Badestelle Kleiner Müggelsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344328.php";"Kleiner Müggelsee";Treptow-Köpenick;2021-06-01;<300;15;15;180;18,3;"Großer Müggelsee";"""Großer Müggelsee - Kleiner Müggelsee(Link zum Badegewässerprofil Kleiner Müggelsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.386749.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad12.pdf";"Kleiner Müggelsee";B112;;1;1;;;
58;;gruen.jpg;"""Krumme Lanke(Link zur Badestelle Krumme Lanke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344355.php";"Krumme Lanke";Steglitz-Zehlendorf;2021-05-27;<300;<15;<15;250;15,1;Grunewaldseen;"""Grunewaldseen - Krumme Lanke(Link zum Badegewässerprofil Krumme Lanke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339151.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad13.pdf";"Krumme Lanke";B950;;1;1;;;
61;;gruen_prog.jpg;"""Lieper Bucht(Link zur Badestelle Lieper Bucht)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344358.php";"Lieper Bucht";Steglitz-Zehlendorf;2021-06-08;<300;<15;<15;230;22;Unterhavel;"""Unterhavel - Lieper Bucht(Link zum Badegewässerprofil Unterhavel Lieper Bucht)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339132.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad34.pdf";"Lieper Bucht / Unterhavel";B331;;11;11;1;ausgezeichnet;2021-06-14T04:02:01.613Z
64;;gruen.jpg;"""Freibad Lübars Ziegeleisee(Link zur Badestelle Ziegeleisee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344336.php";"Lübars, Freibad (Ziegeleisee)";Reinickendorf;2021-06-02;<300;<15;<15;320;19,9;Ziegeleisee;"""Ziegeleisee - Freibad Lübars Ziegeleisee (Link zum Badegewässerprofil Ziegeleisee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339148.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad14.pdf";"Freibad Lübars (Ziegeleisee)";B926;;1;1;;;
67;;gruen.jpg;"""Strandbad Müggelsee(Link zur Badestelle Strandbad Müggelsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344329.php";"Müggelsee, Strandbad";Treptow-Köpenick;2021-06-01;<300;<15;<15;250;17,4;"Großer Müggelsee";"""Großer Müggelsee - Strandbad Müggelsee(Link zum Badegewässerprofil Strandbad Müggelsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339112.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad15.pdf";"Strandbad Müggelsee";B116;;1;1;;;
70;;gruen.jpg;"""Strandbad Orankesee(Link zur Badestelle Orankesee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.347246.php";"Orankesee, Strandbad";Lichtenberg;2021-06-02;<300;<15;<15;>270;18,1;Orankesee;"""Orankesee - Strandbad Orankesee(Link zum Badegewässerprofil Orankesee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339144.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad18.pdf";"Strandbad Orankesee";B911;;1;1;;;
73;;gruen.jpg;"""Freibad Plötzensee(Link zur Badestelle Freibad Plötzensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344353.php";"Plötzensee, Freibad";Mitte;2021-06-02;<300;<15;<15;>270;19;Plötzensee;"""Plötzensee - Freibad Plötzensee(Link zum Badegewässerprofil Freibad Plötzensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339145.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad19.pdf";"Freibad Plötzensee";B915;;1;1;;;
76;;gruen_prog.jpg;"""Radfahrerwiese(Link zur Badestelle Radfahrerwiese)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344357.php";Radfahrerwiese;Steglitz-Zehlendorf;2021-06-08;<300;<15;<15;160;22,7;Unterhavel;"""Unterhavel - Radfahrerwiese(Link zum Badegewässerprofil Unterhavel Radfahrerwiese)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339135.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad35.pdf";"Radfahrerwiese / Unterhavel";B336;;11;11;1;ausgezeichnet;2021-06-14T04:03:58.251Z
79;;gruen.jpg;"""Sandhauser Straße(Link zur Badestelle Sandhauser Straße)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344341.php";"Sandhauser Straße";Reinickendorf;2021-06-09;<300;212;15;200;24,6;Oberhavel;"""Oberhavel - Sandhauser Straße(Link zum Badegewässerprofil Sandhauser Staße)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339122.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad17.pdf";"Sandhauser Straße / Oberhavel";B302;;1;1;;;
82;;gruen.jpg;"""Schlachtensee(Link zur Badestelle Schlachtensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344356.php";Schlachtensee;Steglitz-Zehlendorf;2021-05-27;<300;<15;<15;250;15,7;Grunewaldseen;"""Grunewaldseen - Schlachtensee(Link zum Badegewässerprofil Schlachtensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339152.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad20.pdf";Schlachtensee;B955;;1;1;;;
85;;gruen.jpg;"""Schmöckwitz(Link zur Badestelle Schmöckwitz)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344331.php";Schmöckwitz;Treptow-Köpenick;2021-06-01;<300;<15;<15;170;18,5;Dahme;"""Dahme - Schmöckwitz(Link zum Badegewässerprofil Dahme Schmöckwitz)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339114.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad21.pdf";Schmöckwitz;B215;;1;1;;;
88;;gruen.jpg;"""Seddinsee(Link zur Badestelle Seddinsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344332.php";Seddinsee;Treptow-Köpenick;2021-06-01;2300;<15;<15;230;18,3;Dahme;"""Dahme - Seddinsee(Link zum Badegewässerprofil Dahme Seddinsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339116.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad22.pdf";Seddinsee;B220;;1;1;;;
91;;rot_a.jpg;"""Freibad Tegeler See(Link zur Badestelle Freibad Tegler See)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344343.php";"Tegeler See, Freibad";Reinickendorf;2021-06-09;<300;<15;<15;>170;23,5;"Tegeler See";"""Tegler See - Freibad Tegeler See(Link zum Badegewässerprofil Freibad Tegeler See)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339124.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad23.pdf";"Freibad Tegeler See";B309;A;5;6;;;
94;;rot_a.jpg;"""Gegenüber Reiswerder(Link zur Badestelle Gegenüber Reiswerder)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344345.php";"Tegeler See, gegenüber Reiswerder";Reinickendorf;2021-06-09;<300;<15;<15;140;22,6;"Tegeler See";"""Tegler See - gegenüber Reiswerder(Link zum Badegewässerprofil Tegeler See gegenüber Reiserwerder)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339126.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad24.pdf";"gegenüber Reiswerder / Tegeler See";B312;A;5;6;;;
97;;rot_a.jpg;"""Gegenüber Scharfenberg(Link zur Badestelle Scharfenberg)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344348.php";"Tegeler See, gegenüber Scharfenberg";Reinickendorf;2021-06-09;<300;<15;<15;>190;24,4;"Tegeler See";"""Tegler See - gegenüber Scharfenberg(Link zum Badegewässerprofil Tegeler See gegenüber Scharfenberg)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339125.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad25.pdf";"gegenüber Scharfenberg / Tegeler See";B311;A;5;6;;;
100;;rot_a.jpg;"""Reiherwerder(Link zur Badestelle Reiherwerder)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344344.php";"Tegeler See, Reiherwerder";Reinickendorf;2021-06-09;<300;<15;<15;250;22,2;"Tegeler See";"""Tegler See - Reiherwerder(Link zum Badegewässerprofil Tegeler See  Reiherwerder)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339128.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad26.pdf";"Reiherwerder / Tegeler See";B314;A;5;6;;;
103;;rot_a.jpg;"""Saatwinkel(Link zur Badestelle Saatwinkel)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344349.php";"Tegeler See, Saatwinkel";Reinickendorf;2021-06-09;<300;<15;<15;250;23;"Tegeler See";"""Tegler See - Saatwinkel(Link zum Badegewässerprofil Tegeler See Saatwinkel)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339127.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad27.pdf";"Saatwinkel / Tegeler See";B313;A;5;6;;;
106;;gruen.jpg;"""Teufelssee(Link zur Badestelle Teufelsseee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344363.php";Teufelssee;Charlottenburg-Wilmersdorf;2021-05-27;<300;<15;<15;170;15,4;Teufelssee;"""Teufelssee - Teufelssee(Link zum Badegewässerprofil Teufelssee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339150.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad28.pdf";Teufelssee;B936;;1;1;;;
109;;gruen.jpg;"""Strandbad Wannsee(Link zur Badestelle Strandbad Wannsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344361.php";"Wannsee, Strandbad";Steglitz-Zehlendorf;2021-06-08;360;<15;<15;120;22,2;Unterhavel;"""Unterhavel - Strandbad Wannsee(Link zum Badegewässerprofil Unterhavel Strandbad Wannsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339136.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad36.pdf";"Strandbad Wannsee";B350;;1;1;;;
112;;gruen.jpg;"""Seebadeanstalt Weißensee(Link zur Badestelle Weißensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344318.php";"Weißensee, Seebadeanstalt";Pankow;2021-06-02;<300;<15;<15;170;18,3;"Weißer See";"""Weißer See - Seebadeanstalt Weißensee(Link zum Badegewässerprofil Weisser See)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339137.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad37.pdf";"Seebadeanstalt Weißensee";B910;;1;1;;;
115;;gruen.jpg;"""Freibad Wendenschloss(Link zur Badestelle Wendenschloß)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344333.php";"Wendenschloss, Freibad";Treptow-Köpenick;2021-06-01;<300;<15;<15;290;18,6;Dahme;"""Dahme - Freibad Wendenschloss(Link zum Badegewässerprofil Freibad Wendenschloss)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339120.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":https://data.lageso.de/lageso/baden/bad38.pdf";"Freibad Wendenschloss";B227;;1;1;;;
